[2025-09-07 13:56:04] [INFO    ] discord.client: logging in using static token
[2025-09-07 13:56:07] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'LyricLounge', 'primary_guild': None, 'mfa_enabled': False, 'id': '1409582897006117026', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '1906', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '4619f6e9d49266c3e0383709ce31ba2c', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1409584395437740077'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'dubai', 'singapore', 'saudi-arabia', 'hongkong'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1409582897006117026', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-np62",{"micros":146981,"calls":["id_created",{"micros":538,"calls":[]},"session_lookup_time",{"micros":403,"calls":[]},"session_lookup_finished",{"micros":15,"calls":[]},"discord-sessions-prd-2-85",{"micros":145097,"calls":["start_session",{"micros":79270,"calls":["discord-api-rpc-5c86ccbdf-pzt2s",{"micros":46447,"calls":["get_user",{"micros":9241},"get_guilds",{"micros":3813},"send_scheduled_deletion_message",{"micros":11},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":19999},"apex_experiments",{"micros":3288},"user_activities",{"micros":5},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":32,"calls":[]},"presence_started",{"micros":31315,"calls":[]},"guilds_started",{"micros":56,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":32,"calls":[]},"presence_connect",{"micros":34375,"calls":[]},"connect_finished",{"micros":34411,"calls":[]},"build_ready",{"micros":10,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-09-07 13:56:07] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-07 13:56:07] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 4619f6e9d49266c3e0383709ce31ba2c).
[2025-09-07 13:56:07] [DEBUG   ] discord.client: Dispatching event connect
[2025-09-07 13:56:07] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'default_message_notifications': 0, 'voice_states': [], 'nsfw': False, 'hub_type': None, 'premium_tier': 0, 'roles': [{'version': 1756141508865, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1409584395437740077', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1756171905906, 'unicode_emoji': None, 'tags': {'bot_id': '1409582897006117026'}, 'position': 2, 'permissions': '2815213892398144', 'name': 'youtube_tutorial', 'mentionable': False, 'managed': True, 'id': '1409585907538985143', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1756171904990, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'legends', 'mentionable': False, 'managed': False, 'id': '1409601424068710555', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15277667}, 'color': 15277667}], 'owner_id': '1074144319486836786', 'emojis': [], 'unavailable': False, 'explicit_content_filter': 0, 'system_channel_flags': 0, 'region': 'deprecated', 'profile': None, 'channels': [{'version': 1756141508875, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1409584396226527302', 'flags': 0}, {'version': 1756141508885, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1409584396226527303', 'flags': 0}, {'version': 1756141508900, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1409584396226527302', 'name': 'general', 'last_message_id': '1411950922871083058', 'id': '1409584396226527304', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1756141508907, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1409584396226527303', 'name': 'General', 'last_message_id': None, 'id': '1409584396226527305', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1756718876014, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1409584396226527303', 'name': 'lyriclounge', 'last_message_id': '1412847452331184210', 'id': '1409585633638219947', 'flags': 0}], 'member_count': 5, 'rules_channel_id': None, 'activity_instances': [], 'presences': [], 'home_header': None, 'id': '1409584395437740077', 'max_members': 25000000, 'nsfw_level': 0, 'mfa_level': 0, 'afk_timeout': 300, 'name': 'test_server', 'features': [], 'moderator_reporting': None, 'threads': [], 'inventory_settings': None, 'description': None, 'max_video_channel_users': 25, 'embedded_activities': [], 'public_updates_channel_id': None, 'preferred_locale': 'en-US', 'safety_alerts_channel_id': None, 'premium_progress_bar_enabled': False, 'icon': None, 'max_stage_video_channel_users': 50, 'lazy': True, 'premium_features': None, 'vanity_url_code': None, 'soundboard_sounds': [], 'afk_channel_id': None, 'discovery_splash': None, 'banner': None, 'premium_subscription_count': 0, 'stickers': [], 'verification_level': 0, 'joined_at': '2025-08-25T17:11:09.283000+00:00', 'latest_onboarding_question_id': None, 'guild_scheduled_events': [], 'large': False, 'application_id': None, 'members': [{'user': {'username': 'LyricLounge', 'public_flags': 0, 'primary_guild': None, 'id': '1409582897006117026', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '1906', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1409585907538985143'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-25T17:11:09.283000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'stage_instances': [], 'system_channel_id': '1409584396226527304', 'version': 1756141681833, 'application_command_counts': {}, 'incidents_data': None, 'owner_configured_content_level': 0, 'splash': None}}
[2025-09-07 13:56:07] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-07 13:56:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '867ca78ee044516e62336df54b3da08d', 'members': [{'user': {'username': 'rishik_raj', 'public_flags': 0, 'primary_guild': None, 'id': '816992763223867424', 'global_name': 'Rishik', 'display_name_styles': None, 'display_name': 'Rishik', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-25T17:52:28.415000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'saharsh8995', 'public_flags': 0, 'primary_guild': None, 'id': '1074144319486836786', 'global_name': 'Saharsh', 'display_name_styles': None, 'display_name': 'Saharsh', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1409601424068710555'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-25T17:05:08.781000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'devpl322_02960', 'public_flags': 0, 'primary_guild': None, 'id': '1269100208109912166', 'global_name': 'Dev Narayan U', 'display_name_styles': None, 'display_name': 'Dev Narayan U', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1409601424068710555'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-26T07:51:03.639000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'sarveshsudheer', 'public_flags': 0, 'primary_guild': None, 'id': '1396876177708154962', 'global_name': 'Sarvesh Sudheer', 'display_name_styles': None, 'display_name': 'Sarvesh Sudheer', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '5445ffd7ffb201a98393cbdf684ea4b1'}, 'roles': ['1409601424068710555'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-26T02:32:36.857000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'LyricLounge', 'public_flags': 0, 'primary_guild': None, 'id': '1409582897006117026', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '1906', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1409585907538985143'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-25T17:11:09.283000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1409584395437740077', 'chunk_index': 0, 'chunk_count': 1}}
[2025-09-07 13:56:08] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-07 13:56:08] [DEBUG   ] discord.state: Processed a chunk for 5 members in guild ID 1409584395437740077.
[2025-09-07 13:56:09] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-09-07 13:56:09] [DEBUG   ] discord.client: Dispatching event ready
[2025-09-07 13:56:47] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-09-07 13:56:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-07 13:56:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-07T08:26:51.549000+00:00', 'pinned': False, 'nonce': '1414164909050036224', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1409601424068710555'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-25T17:05:08.781000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1414165006852952135', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '/help', 'components': [], 'channel_type': 0, 'channel_id': '1409585633638219947', 'author': {'username': 'saharsh8995', 'public_flags': 0, 'primary_guild': None, 'id': '1074144319486836786', 'global_name': 'Saharsh', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1409584395437740077'}}
[2025-09-07 13:56:51] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-07 13:56:51] [DEBUG   ] discord.client: Dispatching event message
[2025-09-07 13:56:51] [DEBUG   ] discord.client: Dispatching event command
