[2025-09-01 13:47:48] [INFO    ] discord.client: logging in using static token
[2025-09-01 13:47:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'incidents_data': None, 'member_count': 6, 'large': False, 'application_id': None, 'nsfw_level': 0, 'profile': None, 'moderator_reporting': None, 'premium_progress_bar_enabled': False, 'icon': None, 'owner_id': '1074144319486836786', 'guild_scheduled_events': [], 'system_channel_id': '1409584396226527304', 'public_updates_channel_id': None, 'id': '1409584395437740077', 'discovery_splash': None, 'application_command_counts': {}, 'afk_timeout': 300, 'vanity_url_code': None, 'name': 'test_server', 'stickers': [], 'afk_channel_id': None, 'nsfw': False, 'embedded_activities': [], 'premium_subscription_count': 0, 'inventory_settings': None, 'home_header': None, 'members': [{'user': {'username': 'LyricLounge', 'public_flags': 0, 'primary_guild': None, 'id': '1409582897006117026', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '1906', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1409585907538985143'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-25T17:11:09.283000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'soundboard_sounds': [], 'features': [], 'lazy': True, 'threads': [], 'region': 'deprecated', 'joined_at': '2025-08-25T17:11:09.283000+00:00', 'channels': [{'version': 1756141508875, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1409584396226527302', 'flags': 0}, {'version': 1756141508885, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1409584396226527303', 'flags': 0}, {'version': 1756141508900, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1409584396226527302', 'name': 'general', 'last_message_id': '1411950922871083058', 'id': '1409584396226527304', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1756141508907, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1409584396226527303', 'name': 'General', 'last_message_id': None, 'id': '1409584396226527305', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1756141803901, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1409584396226527303', 'name': 'bot-try', 'last_message_id': '1411988250377326603', 'id': '1409585633638219947', 'flags': 0}], 'description': None, 'max_stage_video_channel_users': 50, 'rules_channel_id': None, 'max_video_channel_users': 25, 'safety_alerts_channel_id': None, 'max_members': 25000000, 'premium_features': None, 'banner': None, 'verification_level': 0, 'voice_states': [], 'default_message_notifications': 0, 'activity_instances': [], 'preferred_locale': 'en-US', 'roles': [{'version': 1756141508865, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1409584395437740077', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1756171905906, 'unicode_emoji': None, 'tags': {'bot_id': '1409582897006117026'}, 'position': 2, 'permissions': '2815213892398144', 'name': 'youtube_tutorial', 'mentionable': False, 'managed': True, 'id': '1409585907538985143', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1756171904990, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'legends', 'mentionable': False, 'managed': False, 'id': '1409601424068710555', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15277667}, 'color': 15277667}], 'splash': None, 'owner_configured_content_level': 0, 'hub_type': None, 'explicit_content_filter': 0, 'mfa_level': 0, 'stage_instances': [], 'emojis': [], 'version': 1756141681833, 'latest_onboarding_question_id': None, 'presences': [], 'unavailable': False, 'system_channel_flags': 0, 'premium_tier': 0}}
[2025-09-01 13:47:50] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-01 13:47:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'f4e92567e674264dd714681da6e82173', 'members': [{'user': {'username': 'rishik_raj', 'public_flags': 0, 'primary_guild': None, 'id': '816992763223867424', 'global_name': 'Rishik', 'display_name_styles': None, 'display_name': 'Rishik', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-25T17:52:28.415000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'saharsh8995', 'public_flags': 0, 'primary_guild': None, 'id': '1074144319486836786', 'global_name': 'Saharsh', 'display_name_styles': None, 'display_name': 'Saharsh', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1409601424068710555'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-25T17:05:08.781000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'devpl322_02960', 'public_flags': 0, 'primary_guild': None, 'id': '1269100208109912166', 'global_name': 'Dev Narayan U', 'display_name_styles': None, 'display_name': 'Dev Narayan U', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1409601424068710555'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-26T07:51:03.639000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'sarveshsudheer', 'public_flags': 0, 'primary_guild': None, 'id': '1396876177708154962', 'global_name': 'Sarvesh Sudheer', 'display_name_styles': None, 'display_name': 'Sarvesh Sudheer', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '5445ffd7ffb201a98393cbdf684ea4b1'}, 'roles': ['1409601424068710555'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-26T02:32:36.857000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'LyricLounge', 'public_flags': 0, 'primary_guild': None, 'id': '1409582897006117026', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '1906', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1409585907538985143'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-25T17:11:09.283000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'sonips.', 'public_flags': 0, 'primary_guild': None, 'id': '1410220756620808192', 'global_name': 'Soni Ps', 'display_name_styles': None, 'display_name': 'Soni Ps', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '5445ffd7ffb201a98393cbdf684ea4b1'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-01T05:48:50.936582+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1409584395437740077', 'chunk_index': 0, 'chunk_count': 1}}
[2025-09-01 13:47:51] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-01 13:47:51] [DEBUG   ] discord.state: Processed a chunk for 6 members in guild ID 1409584395437740077.
[2025-09-01 13:47:52] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-09-01 13:47:52] [DEBUG   ] discord.client: Dispatching event ready
[2025-09-01 13:48:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-01T08:18:17.788000+00:00', 'pinned': False, 'nonce': '1411988522138599424', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1409601424068710555'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-25T17:05:08.781000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1411988524789661808', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '/remove 2', 'components': [], 'channel_type': 0, 'channel_id': '1409585633638219947', 'author': {'username': 'saharsh8995', 'public_flags': 0, 'primary_guild': None, 'id': '1074144319486836786', 'global_name': 'Saharsh', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1409584395437740077'}}
[2025-09-01 13:48:18] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-01 13:48:18] [DEBUG   ] discord.client: Dispatching event message
[2025-09-01 13:48:18] [DEBUG   ] discord.client: Dispatching event command
[2025-09-01 13:48:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-01T08:18:18.562000+00:00', 'pinned': False, 'nonce': '14999066273339633627', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1409585907538985143'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-25T17:11:09.283000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1411988528036057170', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': "Removing .... ('2', ':', 'despacito - justin beeber')", 'components': [], 'channel_type': 0, 'channel_id': '1409585633638219947', 'author': {'username': 'LyricLounge', 'public_flags': 0, 'primary_guild': None, 'id': '1409582897006117026', 'global_name': None, 'display_name_styles': None, 'discriminator': '1906', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1409584395437740077'}}
[2025-09-01 13:48:18] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-01 13:48:18] [DEBUG   ] discord.client: Dispatching event message
[2025-09-01 13:48:18] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1409585633638219947/messages with {"content":"Removing .... ('2', ':', 'despacito - justin beeber')","components":[],"nonce":"14999066273339633627","enforce_nonce":true,"tts":false} has returned 200
[2025-09-01 13:48:18] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-09-01 13:48:18] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1409585633638219947/messages has received {'type': 0, 'content': "Removing .... ('2', ':', 'despacito - justin beeber')", 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-09-01T08:18:18.562000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1411988528036057170', 'channel_id': '1409585633638219947', 'author': {'id': '1409582897006117026', 'username': 'LyricLounge', 'avatar': None, 'discriminator': '1906', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '14999066273339633627'}
[2025-09-01 13:48:19] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-01T08:18:19.085000+00:00', 'pinned': False, 'nonce': '1997937655343698565', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1409585907538985143'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-25T17:11:09.283000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1411988530229542984', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Requested song removed successfully', 'components': [], 'channel_type': 0, 'channel_id': '1409585633638219947', 'author': {'username': 'LyricLounge', 'public_flags': 0, 'primary_guild': None, 'id': '1409582897006117026', 'global_name': None, 'display_name_styles': None, 'discriminator': '1906', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1409584395437740077'}}
[2025-09-01 13:48:19] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-01 13:48:19] [DEBUG   ] discord.client: Dispatching event message
[2025-09-01 13:48:19] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1409585633638219947/messages with {"content":"Requested song removed successfully","components":[],"nonce":"1997937655343698565","enforce_nonce":true,"tts":false} has returned 200
[2025-09-01 13:48:19] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1409585633638219947/messages has received {'type': 0, 'content': 'Requested song removed successfully', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-09-01T08:18:19.085000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1411988530229542984', 'channel_id': '1409585633638219947', 'author': {'id': '1409582897006117026', 'username': 'LyricLounge', 'avatar': None, 'discriminator': '1906', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '1997937655343698565'}
[2025-09-01 13:48:19] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-09-01 13:48:31] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-09-01 13:48:31] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-01 13:49:12] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-09-01 13:49:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-01 13:49:53] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-09-01 13:49:54] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-01 13:50:35] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-09-01 13:50:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-01 13:51:16] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-09-01 13:51:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-01 13:51:57] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-09-01 13:51:58] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-01 13:52:38] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-09-01 13:52:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-01 13:53:20] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-09-01 13:53:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-01 13:54:01] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-09-01 13:54:01] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-01 13:54:42] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-09-01 13:54:43] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-01 13:55:23] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-09-01 13:55:24] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-01 13:56:05] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-09-01 13:56:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-01 13:56:46] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-09-01 13:56:46] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-01 13:57:27] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-09-01 13:57:27] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-01 13:58:08] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-09-01 13:58:09] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-01 13:58:50] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-09-01 13:58:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-01 13:59:31] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-09-01 13:59:31] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-01 14:00:12] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-09-01 14:00:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
